genre	artist_id	artist_name	all_genres	popularity	follower_count	track_id	track_name	track_popularity	track_length	track_danceability	track_energy	track_key	track_loudness	track_mode	track_speechiness	track_acousticness	track_instrumentalness	track_liveness	track_valence	track_tempo	track_type	track_duration	track_time_signature
k-pop	7n2Ycct7Beij7Dj7meI4X0	TWICE	k-pop	78	2099516	1D7e4LrjdB4mKaI9XYrmPY	CHEER UP	66	208862	0.548	0.885	6	-1.48	1	0.125	0.139	0	0.0716	0.509	172.946	audio_features	208862	4
k-pop	5dCvSnVduaFleCnyy98JMo	HEIZE	k-indie; k-pop; korean pop; korean r&b	60	174028	1dA1tlzwcJ3YDYsSul1m06	Jenga (feat. Gaeko)	58	210158	0.711	0.73	1	-4.979	0	0.0436	0.269	2.34e-6	0.109	0.604	93.015	audio_features	210158	4
k-pop	0siBQaURCli5wn2lqv8WZg	DPR LIVE	k-hop; k-pop; korean pop; korean r&b	59	113116	1dN4Z7wZTQXLEl33RkMO3a	Text Me	56	177342	0.846	0.592	5	-6.452	0	0.28	0.146	0	0.258	0.757	134.024	audio_features	177343	4
k-pop	30b9WulBM8sFuBo17nNq9c	G-DRAGON	k-hop; k-pop; korean pop	62	1152089	1e6bjiUn5IhSHu4RgyrPUt	Without You	51	242677	0.6	0.679	11	-6.894	1	0.0372	0.0311	0	0.338	0.327	123.991	audio_features	242677	4
k-pop	48eO052eSDcn8aTxiv6QaG	NCT	k-pop	66	553265	1EYSS9Lp7a9f20C3FaOVgI	Baby Don’t Stop	67	183019	0.827	0.739	8	-6.391	1	0.0744	0.0214	4.13e-6	0.043	0.352	95.999	audio_features	183020	4
k-pop	2FLqlgckDKdmpBrvLAT5BM	Eric Nam	k-pop; korean pop	64	219554	1EzfapL0krLyoIxezUU3A6	Before the Sunset	55	189905	0.518	0.451	11	-7.557	1	0.062	0.678	0	0.159	0.319	131.762	audio_features	189905	4
k-pop	5r1tUTxVSgvBHnoDuDODPH	IZ*ONE	k-pop	65	41980	1fRaznZsAB2i63TtmYv2Hc	La Vie en Rose	76	218993	0.698	0.908	9	-1.211	0	0.0548	0.0899	0	0.115	0.606	115.975	audio_features	218994	4
k-pop	4XDi67ZENZcbfKnvMnTYsI	Jay Park	k-hop; k-pop; korean pop; korean r&b	68	632898	1fRIaQ4nHZF5FybsAsqKZz	SOJU (feat. 2 Chainz)	55	228840	0.812	0.535	4	-4.355	0	0.0606	0.327	0	0.143	0.208	121.994	audio_features	228840	4
k-pop	2CvaqAMMsX576VBehaJ0Wx	Wanna One	k-pop	64	905140	1H0zKZDwR19OGD3zKrwuTG	Beautiful	60	196799	0.507	0.855	0	-3.62	1	0.15	0.415	0	0.331	0.391	159.808	audio_features	196799	4
k-pop	52zMTJCKluDlFwMQWmccY7	LOOΠΔ	k-pop	64	237804	1H3i6WXxrJB7LEoH5iStvb	Love Cherry Motion	53	221847	0.708	0.878	1	-3.808	1	0.0307	0.0187	0	0.111	0.764	136.993	audio_features	221848	4
k-pop	6nfDaffa50mKtEOwR8g4df	GOT7	k-pop	72	1828380	1HaaaJCvvIEukZgx2z1Mrp	I Am Me	58	211656	0.697	0.721	1	-4.911	0	0.0462	0.0519	3.01e-6	0.172	0.332	135.02	audio_features	211657	4
k-pop	3qNVuliS40BLgXGxhdBdqu	TAEYEON	k-pop; korean pop	65	555701	1HVjqP22I8rGY1gyEqrEuy	Circus	53	234026	0.75	0.473	1	-6.906	1	0.0427	0.669	0	0.103	0.337	108.016	audio_features	234027	4
k-pop	2e4G04F77jxVuDYo44TCSm	Loco	k-hop; k-pop; korean pop; korean r&b	63	69907	1iArAuiiDPjtZcwO33YeLF	Too Much (Feat. DEAN)	55	190957	0.747	0.618	11	-4.212	1	0.047	0.0742	0	0.107	0.621	102.038	audio_features	190957	4
k-pop	5DIi2JWfQPTKffaVBlIYRn	Sik-K	k-hop; k-pop; korean pop; korean r&b	61	104507	1ihIXI2MVklmJdPvIUxExZ	party (Shut Down) [feat. Crush]	55	216113	0.702	0.587	8	-5.816	1	0.122	0.27	0	0.0631	0.773	140.001	audio_features	216114	4
k-pop	2dIgFjalVxs4ThymZ67YCE	Stray Kids	k-pop	70	496372	1j494xElPAsRVLyDSIEcKU	M.I.A.	58	210737	0.82	0.864	0	-3.638	1	0.189	0.146	0	0.178	0.61	139.959	audio_features	210738	4
k-pop	1wKpMkucynaTfG8lyPprYV	PENTAGON	k-pop	66	350023	1j4COetlRWIwAUZG31ocwf	Upgrade	49	208147	0.731	0.964	2	-3.551	1	0.107	0.0844	0	0.133	0.547	122.969	audio_features	208148	4
k-pop	20j1uz7iDOtIvIzCr5S8nx	SEUNGRI	k-pop; korean pop	68	238770	1jRpxjlalomtUrMYqNerkH	GG Be	41	217200	0.883	0.699	5	-4.183	1	0.0541	0.0709	0	0.0659	0.646	120.016	audio_features	217200	4
k-pop	3UwlejyX2b458azZ7eCnHb	HyunA	k-pop	62	549851	1kPJiJ3N8cuw5Kzev8Ilu0	Red	60	199888	0.586	0.916	9	-1.83	1	0.0712	0.0027	0	0.402	0.537	163.787	audio_features	199889	4
k-pop	5DIi2JWfQPTKffaVBlIYRn	Sik-K	k-hop; k-pop; korean pop; korean r&b	61	104507	1kQcX6cLpC57HQqqSRrHi4	Ring Ring (feat. Gaeko)	51	206613	0.622	0.235	11	-9.378	0	0.0512	0.735	0	0.248	0.757	160.015	audio_features	206613	4
k-pop	30b9WulBM8sFuBo17nNq9c	G-DRAGON	k-hop; k-pop; korean pop	62	1152089	1LSNDl7np1Fs3xNoXiKUGC	Missing You	50	207089	0.742	0.792	5	-4.713	1	0.0651	0.14	0	0.0704	0.78	122.998	audio_features	207090	4
k-pop	48eO052eSDcn8aTxiv6QaG	NCT	k-pop	66	553265	1mdEvT7X3Rs7vL75fRb8oo	TOUCH	63	189077	0.595	0.806	8	-4.644	1	0.141	0.0391	0	0.36	0.616	93.126	audio_features	189078	4
